longitude,latitude,distance_to_nearest_streetlight,count_of_nearby_streetlight_500m_approx,distance_to_nearest_nightlifevenue,count_of_nearby_nightlifevenue_500m_approx,distance_to_nearest_transportstation,count_of_nearby_transportstation_500m_approx,distance_to_nearest_policestation,count_of_nearby_policestation_500m_approx,count_restaurant,count_bar,count_nightclub
77.290103,28.6223887,0.0,48,0.005769803388331521,0,0.0022457508966920287,7,0.012834592132592651,0,1,0,0
77.220537,28.6291827,0.0,3,0.0006243029472904602,68,0.001080650382872226,16,0.0028803328366615705,1,84,16,1
77.2186349,28.5315827,0.0,1,0.001061249174318434,17,0.001347651486847357,6,0.0015100516977907363,1,25,1,0
77.2031747,28.5205662,0.0,3,0.0008764813803012343,11,0.0004287858323221639,5,0.0059126769098253006,0,14,1,0
77.2153936,28.5181285,0.0,1,0.008876758584635453,0,0.0011526466587858687,8,0.008416087210219633,0,4,1,0
77.2056411,28.5200665,0.0,4,0.0009950180902938684,5,0.002196014856515082,7,0.004289392606193348,1,14,1,0
77.2058877,28.5210438,0.0,6,0.0016640730903428112,5,0.002372139561660329,9,0.0034080670474611365,1,14,1,0
77.1980702,28.5087849,0.0,1,0.004620463254913367,1,0.012341437445048583,0,0.017858805373822343,0,8,0,0
77.2902689,28.6041558,0.0,2,0.0028014967517384372,5,0.0007348564825878082,6,0.020260730970280045,0,8,0,0
77.2904813,28.6028489,0.0,2,0.0040908167448561695,2,0.00091260140258698,5,0.02118248034060608,0,8,0,0
77.2938059,28.6182744,0.0,113,0.007247386166748003,0,0.003476949175642794,7,0.009120666956431355,0,4,0,0
77.2937279,28.618134,0.0,110,0.007352648095074091,0,0.0036345393724657045,8,0.009226350119639624,0,4,0,0
77.293631,28.6182413,0.0,112,0.007425377766136144,0,0.003565018105140025,8,0.009298645028710667,0,4,0,0
77.2937997,28.618148,0.0,111,0.007279515976353598,0,0.0035994137092033134,8,0.00915322111882811,0,4,0,0
77.2910154,28.6152363,0.0,65,0.003998726137164425,2,0.00091450579550495,10,0.012700301234614129,0,8,0,0
77.2910061,28.6154787,0.0,67,0.004195618534857565,2,0.0010587904419712914,9,0.012617602248445553,0,8,0,0
77.2923841,28.6147782,0.0,63,0.004603297241110152,2,0.00182560830956896,8,0.011652268459400393,0,9,0,0
77.2919866,28.6149673,0.0,60,0.004431481761220966,2,0.0017545680294629488,6,0.011923789213586793,0,8,0,0
77.2925916,28.6146683,0.0,64,0.004700070915414997,2,0.0016026470603358203,8,0.011519969505609342,0,9,0,0
77.2927825,28.6145312,0.0,64,0.004777442061392452,2,0.001373398332598039,7,0.011418762271370196,0,9,0,0
77.1374704,28.6214482,0.0,1,0.0014400708107599797,1,0.003086492410484326,4,0.018935351441416785,0,2,0,0
77.1851189,28.5467526,0.0,1,0.0016643669907805605,4,0.001999799960003384,7,0.014017976849743692,0,5,0,0
77.2220406,28.6338182,0.0,3,0.0002495954526843256,76,0.0015585069072691124,10,0.0021080620199618277,3,93,17,1
77.2274522,28.6565743,0.0,9,0.002874905920197248,9,0.003426592863182839,8,0.004157815422789754,2,15,0,1
77.2983063,28.5426459,0.0,1,0.0028497343472567776,1,0.002150542017720798,5,0.009624932524430346,0,2,0,0
77.2414807,28.5850933,0.0,42,0.00479521229561815,1,0.0013359058537219014,6,0.0075277300888126645,0,6,0,0
77.2411475,28.5846025,0.0,42,0.004999002860576006,1,0.0007557250624423248,6,0.00809809853546128,0,7,0,0
77.2410295,28.5843855,0.0,42,0.005079490860318043,0,0.0005340836732223038,6,0.008341657394668783,0,8,0,0
77.27689,28.6306344,0.0,17,0.000749923782793564,12,0.0006340804365456145,7,0.0005883924710636171,1,14,0,0
77.2765385,28.6311169,0.0,19,0.001084988746479883,12,0.0011131578953597853,6,0.0011412701695879947,1,13,0,0
77.2755376,28.6307591,0.0,19,0.0011948730894926045,11,0.001991973907956883,6,0.0019278482434999691,1,13,0,0
77.2757751,28.6308339,0.0,19,0.00126013577442818,11,0.0017638272761222912,7,0.001711897309998143,1,13,0,0
77.2749843,28.6306253,0.0,19,0.0012722809791875585,11,0.002534166356028159,6,0.0024585774830156886,1,12,0,0
77.2401636,28.5833462,0.0,41,0.005009273673897873,0,0.00036772822844533963,6,0.009618917806591909,0,8,0,0
77.2417293,28.5854141,0.0,42,0.004669278389643886,1,0.0014734922666937503,6,0.007148124322504347,0,6,0,0
77.2411269,28.5838487,0.0,42,0.004933760310355574,1,0.0006221352344972756,6,0.008821130957536496,0,8,0,0
77.2411247,28.5842152,0.0,42,0.004963403567111232,1,0.0005663133584925773,6,0.008472702549955394,0,8,0,0
77.240891,28.5840185,0.0,42,0.005178434227637357,0,0.0003396405747359919,6,0.008733778623253263,0,8,0,0
77.2409014,28.5837933,0.0,42,0.005157389503424391,0,0.00046715808887598097,6,0.00894347743106776,0,8,0,0
77.2745452,28.6290382,0.0,18,0.0012769779363801593,9,0.0027402243065002465,6,0.003196692618936297,1,12,0,0
77.2752887,28.6292598,0.0,18,0.0005214547343751029,10,0.00199179331508225,7,0.002432862686215221,1,12,0,0
77.274847,28.6290562,0.0,18,0.0010017866090244732,9,0.002437888752588683,7,0.0029185035514839347,1,12,0,0
77.2742542,28.6287645,0.0,18,0.001611823296766135,9,0.003057247144074884,5,0.003579024002432624,1,12,0,0
77.2435257,28.5843417,0.0,42,0.00262124590986347,1,0.002967460795035694,6,0.007930003206179339,0,6,0,0
77.2435136,28.5841242,0.0,42,0.002585279222832645,1,0.0029470044129650632,7,0.008147766330104538,0,6,0,0
77.243292,28.584355,0.0,42,0.002850788960976579,1,0.002735590241614229,6,0.007927009075939965,0,6,0,0
77.2458562,28.5835113,0.0,34,0.00025072058151992814,1,0.004605132901451657,1,0.008952433336800136,0,5,0,0
77.2434151,28.5823372,0.0,43,0.0029552334611609604,1,0.003098267596586369,7,0.00993701804466416,0,7,0,0
77.2433037,28.5823772,0.0,42,0.0030381119745683852,1,0.0029799258547839667,7,0.00990152754376906,0,7,0,0
77.2435837,28.5840884,0.0,42,0.0025100043764896573,1,0.003017256187341219,7,0.008181756810125104,0,6,0,0
77.2437242,28.583915,0.0,42,0.002346654235288215,1,0.0031641894017352444,7,0.008353368382275052,0,6,0,0
77.242689,28.582371,0.0,42,0.0036067952118220264,1,0.002418264205998031,7,0.009954863549544326,0,7,0,0
77.2420225,28.5823549,0.0,42,0.004240834601818202,1,0.0018533211405544368,7,0.010064167119539724,0,7,0,0
77.2416553,28.5828697,0.0,42,0.0044724125256922495,1,0.0012706239294216456,7,0.00963094124423947,0,8,0,0
77.240121,28.5830193,0.0,41,0.004687246382471809,1,0.0005787526241800413,6,0.009938398764388177,0,8,0,0
77.2444048,28.5826235,0.0,43,0.0019511853141127296,1,0.0033623753746420144,5,0.009666463535337129,0,6,0,0
77.2430758,28.5823708,0.0,42,0.003248621236772627,1,0.0027706399712008802,7,0.009920982969949086,0,7,0,0
77.2423227,28.5823656,0.0,42,0.0039527941825995404,1,0.002098640783941429,7,0.010006175761999136,0,7,0,0
